Year,Date,Tournament,Site,State,Winner,Tournament_URL
2018,February 8-11 2018,Bassmaster Elite at Lake Martin presented by Econo Lodge,Lake Martin,AL,Takahiro Omori,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=1&year=2018
2017,September 14-17 2017,2017 Toyota Bassmaster Angler of the Year Championship,Mille Lacs Lake,MN,Keith Combs,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=11&year=2017
2017,August 24-27 2017,Bassmaster Elite at St. Clair,Lake St. Clair,MI,Jason Christie,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=10&year=2017
2017,July 28-30 2017,Bassmaster Elite at Champlain,Lake Champlain,NY,Aaron Martens,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=9&year=2017
2017,July 20-23 2017,Bassmaster Elite at St. Lawrence,St. Lawrence River,NY,Kevin VanDam,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=8&year=2017
2017,June 2-5 2017,Bassmaster Elite at Dardanelle,Lake Dardanelle,AR,Stephen Kennedy,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=7&year=2017
2017,May 17-21 2017,Toyota Bassmaster Texas Fest,Lake Sam Rayburn,TX,Brandon Palaniuk,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=6&year=2017
2017,April 27-30 2017,Bassmaster Elite at Ross Barnett,Ross Barnett Reservoir,MS,Dustin Connell,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=5&year=2017
2017,April 6-9 2017,Bassmaster Elite at Toledo Bend,Toledo Bend,LA,John Murray,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=4&year=2017
2017,March 24-26 2017,2017 GEICO Bassmaster Classic,Lake Conroe,TX,Jordan Lee,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=3&year=2017
2017,February 23-26 2017,Bassmaster Elite at Lake Okeechobee,Lake Okeechobee,FL,Timmy Horton,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=2&year=2017
2017,February 9-12 2017,Bassmaster Elite at Lake Cherokee,Lake Cherokee,MO,Jacob Wheeler,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=1&year=2017
2016,September 15-18 2016,2016 Toyota Bassmaster Angler of the Year Championship,Mille Lacs Lake,MN,Seth Feider,https://bassmasterfantasy.com/TournamentDetails.aspx?periodId=11&year=2016
